Slack Margin,Lambda,d,Total Jobs,Deadline Misses,Miss Rate (%)
1.0,0.5,1,500083,250397,50
1.0,0.5,2,500554,131652,26
1.0,0.5,5,500437,31596,6
1.0,0.5,10,501093,12305,2
1.0,0.7,1,699821,489683,70
1.0,0.7,2,700915,353215,50
1.0,0.7,5,699664,171430,25
1.0,0.7,10,701065,108177,15
1.0,0.9,1,900393,809194,90
1.0,0.9,2,901737,738555,82
1.0,0.9,5,899637,591349,66
1.0,0.9,10,900575,516988,57
1.0,0.95,1,950671,902316,95
1.0,0.95,2,951959,866437,91
1.0,0.95,5,949380,770147,81
1.0,0.95,10,950487,724249,76
1.0,0.99,1,989656,978311,99
1.0,0.99,2,991987,977754,99
1.0,0.99,5,989202,941455,95
1.0,0.99,10,990325,938211,95
2.0,0.5,1,500083,162091,32
2.0,0.5,2,500554,68655,14
2.0,0.5,5,500437,15698,3
2.0,0.5,10,501093,6179,1
2.0,0.7,1,699825,367676,53
2.0,0.7,2,700915,201203,29
2.0,0.7,5,699664,87862,13
2.0,0.7,10,701065,54866,8
2.0,0.9,1,900401,727243,81
2.0,0.9,2,901738,532777,59
2.0,0.9,5,899636,362532,40
2.0,0.9,10,900575,310611,34
2.0,0.95,1,950676,854087,90
2.0,0.95,2,951965,710285,75
2.0,0.95,5,949378,546983,58
2.0,0.95,10,950482,511265,54
2.0,0.99,1,989666,965619,98
2.0,0.99,2,991985,937734,95
2.0,0.99,5,989203,838962,85
2.0,0.99,10,990335,844949,85
5.0,0.5,1,500085,54390,11
5.0,0.5,2,500554,26604,5
5.0,0.5,5,500437,6313,1
5.0,0.5,10,501093,2506,1
5.0,0.7,1,699834,129613,19
5.0,0.7,2,700915,74093,11
5.0,0.7,5,699664,34747,5
5.0,0.7,10,701065,21544,3
5.0,0.9,1,900412,436649,48
5.0,0.9,2,901739,168950,19
5.0,0.9,5,899634,127958,14
5.0,0.9,10,900575,111594,12
5.0,0.95,1,950695,650259,68
5.0,0.95,2,951983,241047,25
5.0,0.95,5,949382,183111,19
5.0,0.95,10,950486,177225,19
5.0,0.99,1,989687,902524,91
5.0,0.99,2,991988,671686,68
5.0,0.99,5,989200,465150,47
5.0,0.99,10,990367,513812,52
10.0,0.5,1,500085,24955,5
10.0,0.5,2,500554,13278,3
10.0,0.5,5,500437,3219,1
10.0,0.5,10,501093,1292,0
10.0,0.7,1,699834,50765,7
10.0,0.7,2,700915,36218,5
10.0,0.7,5,699664,17396,2
10.0,0.7,10,701065,10766,2
10.0,0.9,1,900435,184057,20
10.0,0.9,2,901740,79570,9
10.0,0.9,5,899634,62548,7
10.0,0.9,10,900575,54897,6
10.0,0.95,1,950717,395878,42
10.0,0.95,2,952004,95254,10
10.0,0.95,5,949383,84821,9
10.0,0.95,10,950487,79452,8
10.0,0.99,1,989732,795741,80
10.0,0.99,2,991987,359603,36
10.0,0.99,5,989206,170371,17
10.0,0.99,10,990409,212774,21
