Slack Margin,Lambda,d,Total Jobs,Deadline Misses,Miss Rate (%)
1.0,0.5,1,500083,250397,50
1.0,0.5,2,500554,131635,26
1.0,0.5,5,500437,31597,6
1.0,0.5,10,501093,12312,2
1.0,0.7,1,699819,489681,70
1.0,0.7,2,700915,353393,50
1.0,0.7,5,699664,171458,25
1.0,0.7,10,701065,108266,15
1.0,0.9,1,900388,809189,90
1.0,0.9,2,901735,738839,82
1.0,0.9,5,899634,592206,66
1.0,0.9,10,900575,519361,58
1.0,0.95,1,950668,902313,95
1.0,0.95,2,951947,866155,91
1.0,0.95,5,949379,770622,81
1.0,0.95,10,950485,726954,76
1.0,0.99,1,989642,978297,99
1.0,0.99,2,991988,977863,99
1.0,0.99,5,989200,941879,95
1.0,0.99,10,990315,938976,95
2.0,0.5,1,500083,167020,33
2.0,0.5,2,500554,69197,14
2.0,0.5,5,500437,15697,3
2.0,0.5,10,501093,6184,1
2.0,0.7,1,699819,377029,54
2.0,0.7,2,700915,205613,29
2.0,0.7,5,699664,88145,13
2.0,0.7,10,701065,54979,8
2.0,0.9,1,900388,734583,82
2.0,0.9,2,901735,549192,61
2.0,0.9,5,899634,373050,41
2.0,0.9,10,900575,319678,35
2.0,0.95,1,950668,858579,90
2.0,0.95,2,951947,725757,76
2.0,0.95,5,949379,564680,59
2.0,0.95,10,950485,528854,56
2.0,0.99,1,989642,966823,98
2.0,0.99,2,991988,942970,95
2.0,0.99,5,989200,850734,86
2.0,0.99,10,990315,857995,87
5.0,0.5,1,500083,83307,17
5.0,0.5,2,500554,28378,6
5.0,0.5,5,500437,6323,1
5.0,0.5,10,501093,2511,1
5.0,0.7,1,699819,223032,32
5.0,0.7,2,700915,90162,13
5.0,0.7,5,699664,36050,5
5.0,0.7,10,701065,22087,3
5.0,0.9,1,900388,576207,64
5.0,0.9,2,901735,291984,32
5.0,0.9,5,899634,174939,19
5.0,0.9,10,900575,148453,16
5.0,0.95,1,950668,749819,79
5.0,0.95,2,951947,451009,47
5.0,0.95,5,949379,307481,32
5.0,0.95,10,950485,289903,31
5.0,0.99,1,989642,932941,94
5.0,0.99,2,991988,808961,82
5.0,0.99,5,989200,644219,65
5.0,0.99,10,990315,674046,68
10.0,0.5,1,500083,45281,9
10.0,0.5,2,500554,14378,3
10.0,0.5,5,500437,3228,1
10.0,0.5,10,501093,1294,0
10.0,0.7,1,699819,132888,19
10.0,0.7,2,700915,46518,7
10.0,0.7,5,699664,18249,3
10.0,0.7,10,701065,11065,2
10.0,0.9,1,900388,424249,47
10.0,0.9,2,901735,162120,18
10.0,0.9,5,899634,92587,10
10.0,0.9,10,900575,78399,9
10.0,0.95,1,950668,619316,65
10.0,0.95,2,951947,270095,28
10.0,0.95,5,949379,173383,18
10.0,0.95,10,950485,165420,17
10.0,0.99,1,989642,882309,89
10.0,0.99,2,991988,639244,64
10.0,0.99,5,989200,453575,46
10.0,0.99,10,990315,492879,50
